condition,model_level,objective,candidate_id,order
Pooled,OLS,o_max,m000000_o_max_ord3_rk00001,3
Pooled,OLS,o_max,m000017_o_max_ord3_rk00018,3
Pooled,OLS,o_max,m001015_o_max_ord4_rk00016,4
Pooled,OLS,o_max,m001004_o_max_ord4_rk00005,4
Pooled,OLS,o_max,m001001_o_max_ord4_rk00002,4
Pooled,OLS,o_max,m001008_o_max_ord4_rk00009,4
Pooled,OLS,o_max,m000016_o_max_ord3_rk00017,3
Pooled,OLS,o_max,m001013_o_max_ord4_rk00014,4
Pooled,OLS,o_max,m001002_o_max_ord4_rk00003,4
Pooled,OLS,o_max,m001011_o_max_ord4_rk00012,4
Pooled,OLS,o_max,m001009_o_max_ord4_rk00010,4
Pooled,OLS,o_max,m002003_o_max_ord5_rk00004,5
Pooled,OLS,o_max,m000019_o_max_ord3_rk00020,3
Pooled,OLS,o_max,m000005_o_max_ord3_rk00006,3
Pooled,OLS,o_max,m002010_o_max_ord5_rk00011,5
Pooled,OLS,o_max,m002004_o_max_ord5_rk00005,5
Pooled,OLS,o_max,m000013_o_max_ord3_rk00014,3
Pooled,OLS,o_max,m001000_o_max_ord4_rk00001,4
Pooled,OLS,o_max,m000007_o_max_ord3_rk00008,3
Pooled,OLS,o_max,m000011_o_max_ord3_rk00012,3
Pooled,OLS,o_min,m048517_o_min_ord4_rk00003,4
Pooled,OLS,o_min,m048520_o_min_ord4_rk00006,4
Pooled,OLS,o_min,m048525_o_min_ord4_rk00011,4
Pooled,OLS,o_min,m048518_o_min_ord4_rk00004,4
Pooled,OLS,o_min,m048527_o_min_ord4_rk00013,4
Pooled,OLS,o_min,m048528_o_min_ord4_rk00014,4
Pooled,OLS,o_min,m049517_o_min_ord5_rk00003,5
Pooled,OLS,o_min,m048523_o_min_ord4_rk00009,4
Pooled,OLS,o_min,m048530_o_min_ord4_rk00016,4
Pooled,OLS,o_min,m049534_o_min_ord5_rk00020,5
Pooled,OLS,o_min,m049521_o_min_ord5_rk00007,5
Pooled,OLS,o_min,m051534_o_min_ord7_rk00020,7
Pooled,OLS,o_min,m050524_o_min_ord6_rk00010,6
Pooled,OLS,o_min,m049527_o_min_ord5_rk00013,5
Pooled,OLS,o_min,m050515_o_min_ord6_rk00001,6
Pooled,OLS,o_min,m051529_o_min_ord7_rk00015,7
Pooled,OLS,o_min,m054515_o_min_ord10_rk00001,10
Pooled,OLS,o_min,m051526_o_min_ord7_rk00012,7
Pooled,OLS,o_min,m047517_o_min_ord3_rk00003,3
Pooled,OLS,o_min,m048521_o_min_ord4_rk00007,4
Pooled,d1,o_max,m021019_o_max_ord24_rk00020,24
Pooled,d1,o_max,m019004_o_max_ord22_rk00005,22
Pooled,d1,o_max,m013003_o_max_ord16_rk00004,16
Pooled,d1,o_max,m019000_o_max_ord22_rk00001,22
Pooled,d1,o_max,m018000_o_max_ord21_rk00001,21
Pooled,d1,o_max,m020004_o_max_ord23_rk00005,23
Pooled,d1,o_max,m018006_o_max_ord21_rk00007,21
Pooled,d1,o_max,m015000_o_max_ord18_rk00001,18
Pooled,d1,o_max,m026018_o_max_ord29_rk00019,29
Pooled,d1,o_max,m016000_o_max_ord19_rk00001,19
Pooled,d1,o_max,m020000_o_max_ord23_rk00001,23
Pooled,d1,o_max,m020007_o_max_ord23_rk00008,23
Pooled,d1,o_max,m014000_o_max_ord17_rk00001,17
Pooled,d1,o_max,m019014_o_max_ord22_rk00015,22
Pooled,d1,o_max,m017011_o_max_ord20_rk00012,20
Pooled,d1,o_max,m018004_o_max_ord21_rk00005,21
Pooled,d1,o_max,m020002_o_max_ord23_rk00003,23
Pooled,d1,o_max,m018015_o_max_ord21_rk00016,21
Pooled,d1,o_max,m026003_o_max_ord29_rk00004,29
Pooled,d1,o_max,m017018_o_max_ord20_rk00019,20
Pooled,d1,o_min,m048534_o_min_ord4_rk00020,4
Pooled,d1,o_min,m048531_o_min_ord4_rk00017,4
Pooled,d1,o_min,m048522_o_min_ord4_rk00008,4
Pooled,d1,o_min,m061517_o_min_ord17_rk00003,17
Pooled,d1,o_min,m050530_o_min_ord6_rk00016,6
Pooled,d1,o_min,m061534_o_min_ord17_rk00020,17
Pooled,d1,o_min,m047533_o_min_ord3_rk00019,3
Pooled,d1,o_min,m059518_o_min_ord15_rk00004,15
Pooled,d1,o_min,m061522_o_min_ord17_rk00008,17
Pooled,d1,o_min,m061527_o_min_ord17_rk00013,17
Pooled,d1,o_min,m053531_o_min_ord9_rk00017,9
Pooled,d1,o_min,m060524_o_min_ord16_rk00010,16
Pooled,d1,o_min,m052517_o_min_ord8_rk00003,8
Pooled,d1,o_min,m060527_o_min_ord16_rk00013,16
Pooled,d1,o_min,m059523_o_min_ord15_rk00009,15
Pooled,d1,o_min,m048529_o_min_ord4_rk00015,4
Pooled,d1,o_min,m060522_o_min_ord16_rk00008,16
Pooled,d1,o_min,m056527_o_min_ord12_rk00013,12
Pooled,d1,o_min,m052530_o_min_ord8_rk00016,8
Pooled,d1,o_min,m047520_o_min_ord3_rk00006,3
Pooled,d2,o_max,m025007_o_max_ord28_rk00008,28
Pooled,d2,o_max,m025003_o_max_ord28_rk00004,28
Pooled,d2,o_max,m023006_o_max_ord26_rk00007,26
Pooled,d2,o_max,m023009_o_max_ord26_rk00010,26
Pooled,d2,o_max,m026018_o_max_ord29_rk00019,29
Pooled,d2,o_max,m025002_o_max_ord28_rk00003,28
Pooled,d2,o_max,m026005_o_max_ord29_rk00006,29
Pooled,d2,o_max,m026007_o_max_ord29_rk00008,29
Pooled,d2,o_max,m026012_o_max_ord29_rk00013,29
Pooled,d2,o_max,m027008_o_max_ord30_rk00009,30
Pooled,d2,o_max,m025017_o_max_ord28_rk00018,28
Pooled,d2,o_max,m021015_o_max_ord24_rk00016,24
Pooled,d2,o_max,m026017_o_max_ord29_rk00018,29
Pooled,d2,o_max,m018017_o_max_ord21_rk00018,21
Pooled,d2,o_max,m022014_o_max_ord25_rk00015,25
Pooled,d2,o_max,m022010_o_max_ord25_rk00011,25
Pooled,d2,o_max,m020013_o_max_ord23_rk00014,23
Pooled,d2,o_max,m027019_o_max_ord30_rk00020,30
Pooled,d2,o_max,m019009_o_max_ord22_rk00010,22
Pooled,d2,o_max,m026000_o_max_ord29_rk00001,29
Pooled,d2,o_min,m047520_o_min_ord3_rk00006,3
Pooled,d2,o_min,m055519_o_min_ord11_rk00005,11
Pooled,d2,o_min,m050517_o_min_ord6_rk00003,6
Pooled,d2,o_min,m048517_o_min_ord4_rk00003,4
Pooled,d2,o_min,m052521_o_min_ord8_rk00007,8
Pooled,d2,o_min,m049520_o_min_ord5_rk00006,5
Pooled,d2,o_min,m048520_o_min_ord4_rk00006,4
Pooled,d2,o_min,m048518_o_min_ord4_rk00004,4
Pooled,d2,o_min,m061529_o_min_ord17_rk00015,17
Pooled,d2,o_min,m049524_o_min_ord5_rk00010,5
Pooled,d2,o_min,m058524_o_min_ord14_rk00010,14
Pooled,d2,o_min,m065526_o_min_ord21_rk00012,21
Pooled,d2,o_min,m057525_o_min_ord13_rk00011,13
Pooled,d2,o_min,m057519_o_min_ord13_rk00005,13
Pooled,d2,o_min,m053520_o_min_ord9_rk00006,9
Pooled,d2,o_min,m061524_o_min_ord17_rk00010,17
Pooled,d2,o_min,m061516_o_min_ord17_rk00002,17
Pooled,d2,o_min,m048529_o_min_ord4_rk00015,4
Pooled,d2,o_min,m057521_o_min_ord13_rk00007,13
Pooled,d2,o_min,m062532_o_min_ord18_rk00018,18
Pooled,d3,o_max,m026012_o_max_ord29_rk00013,29
Pooled,d3,o_max,m025008_o_max_ord28_rk00009,28
Pooled,d3,o_max,m026005_o_max_ord29_rk00006,29
Pooled,d3,o_max,m024001_o_max_ord27_rk00002,27
Pooled,d3,o_max,m026019_o_max_ord29_rk00020,29
Pooled,d3,o_max,m020013_o_max_ord23_rk00014,23
Pooled,d3,o_max,m026011_o_max_ord29_rk00012,29
Pooled,d3,o_max,m027019_o_max_ord30_rk00020,30
Pooled,d3,o_max,m026007_o_max_ord29_rk00008,29
Pooled,d3,o_max,m023006_o_max_ord26_rk00007,26
Pooled,d3,o_max,m023009_o_max_ord26_rk00010,26
Pooled,d3,o_max,m022010_o_max_ord25_rk00011,25
Pooled,d3,o_max,m023001_o_max_ord26_rk00002,26
Pooled,d3,o_max,m020015_o_max_ord23_rk00016,23
Pooled,d3,o_max,m024016_o_max_ord27_rk00017,27
Pooled,d3,o_max,m027008_o_max_ord30_rk00009,30
Pooled,d3,o_max,m023007_o_max_ord26_rk00008,26
Pooled,d3,o_max,m025003_o_max_ord28_rk00004,28
Pooled,d3,o_max,m027018_o_max_ord30_rk00019,30
Pooled,d3,o_max,m026017_o_max_ord29_rk00018,29
Pooled,d3,o_min,m048530_o_min_ord4_rk00016,4
Pooled,d3,o_min,m049520_o_min_ord5_rk00006,5
Pooled,d3,o_min,m049529_o_min_ord5_rk00015,5
Pooled,d3,o_min,m066519_o_min_ord22_rk00005,22
Pooled,d3,o_min,m049524_o_min_ord5_rk00010,5
Pooled,d3,o_min,m066523_o_min_ord22_rk00009,22
Pooled,d3,o_min,m062529_o_min_ord18_rk00015,18
Pooled,d3,o_min,m062532_o_min_ord18_rk00018,18
Pooled,d3,o_min,m072528_o_min_ord28_rk00014,28
Pooled,d3,o_min,m048529_o_min_ord4_rk00015,4
Pooled,d3,o_min,m048517_o_min_ord4_rk00003,4
Pooled,d3,o_min,m048520_o_min_ord4_rk00006,4
Pooled,d3,o_min,m063532_o_min_ord19_rk00018,19
Pooled,d3,o_min,m066520_o_min_ord22_rk00006,22
Pooled,d3,o_min,m048521_o_min_ord4_rk00007,4
Pooled,d3,o_min,m047517_o_min_ord3_rk00003,3
Pooled,d3,o_min,m060531_o_min_ord16_rk00017,16
Pooled,d3,o_min,m063525_o_min_ord19_rk00011,19
Pooled,d3,o_min,m052530_o_min_ord8_rk00016,8
Pooled,d3,o_min,m048518_o_min_ord4_rk00004,4
CN->CN,OLS,o_max,m007012_o_max_ord10_rk00013,10
CN->CN,OLS,o_max,m005004_o_max_ord8_rk00005,8
CN->CN,OLS,o_max,m001011_o_max_ord4_rk00012,4
CN->CN,OLS,o_max,m005016_o_max_ord8_rk00017,8
CN->CN,OLS,o_max,m005005_o_max_ord8_rk00006,8
CN->CN,OLS,o_max,m005003_o_max_ord8_rk00004,8
CN->CN,OLS,o_max,m000000_o_max_ord3_rk00001,3
CN->CN,OLS,o_max,m004001_o_max_ord7_rk00002,7
CN->CN,OLS,o_max,m000017_o_max_ord3_rk00018,3
CN->CN,OLS,o_max,m001000_o_max_ord4_rk00001,4
CN->CN,OLS,o_max,m005011_o_max_ord8_rk00012,8
CN->CN,OLS,o_max,m002003_o_max_ord5_rk00004,5
CN->CN,OLS,o_max,m002013_o_max_ord5_rk00014,5
CN->CN,OLS,o_max,m003000_o_max_ord6_rk00001,6
CN->CN,OLS,o_max,m003015_o_max_ord6_rk00016,6
CN->CN,OLS,o_max,m001001_o_max_ord4_rk00002,4
CN->CN,OLS,o_max,m002008_o_max_ord5_rk00009,5
CN->CN,OLS,o_max,m004000_o_max_ord7_rk00001,7
CN->CN,OLS,o_max,m001015_o_max_ord4_rk00016,4
CN->CN,OLS,o_max,m002011_o_max_ord5_rk00012,5
CN->CN,OLS,o_min,m064520_o_min_ord20_rk00006,20
CN->CN,OLS,o_min,m065530_o_min_ord21_rk00016,21
CN->CN,OLS,o_min,m064532_o_min_ord20_rk00018,20
CN->CN,OLS,o_min,m065521_o_min_ord21_rk00007,21
CN->CN,OLS,o_min,m068533_o_min_ord24_rk00019,24
CN->CN,OLS,o_min,m064531_o_min_ord20_rk00017,20
CN->CN,OLS,o_min,m047531_o_min_ord3_rk00017,3
CN->CN,OLS,o_min,m065520_o_min_ord21_rk00006,21
CN->CN,OLS,o_min,m048528_o_min_ord4_rk00014,4
CN->CN,OLS,o_min,m066529_o_min_ord22_rk00015,22
CN->CN,OLS,o_min,m048523_o_min_ord4_rk00009,4
CN->CN,OLS,o_min,m048515_o_min_ord4_rk00001,4
CN->CN,OLS,o_min,m049518_o_min_ord5_rk00004,5
CN->CN,OLS,o_min,m048527_o_min_ord4_rk00013,4
CN->CN,OLS,o_min,m049519_o_min_ord5_rk00005,5
CN->CN,OLS,o_min,m049522_o_min_ord5_rk00008,5
CN->CN,OLS,o_min,m049527_o_min_ord5_rk00013,5
CN->CN,OLS,o_min,m049525_o_min_ord5_rk00011,5
CN->CN,OLS,o_min,m049516_o_min_ord5_rk00002,5
CN->CN,OLS,o_min,m050530_o_min_ord6_rk00016,6
CN->CN,d1,o_max,m025008_o_max_ord28_rk00009,28
CN->CN,d1,o_max,m017015_o_max_ord20_rk00016,20
CN->CN,d1,o_max,m017017_o_max_ord20_rk00018,20
CN->CN,d1,o_max,m018016_o_max_ord21_rk00017,21
CN->CN,d1,o_max,m024016_o_max_ord27_rk00017,27
CN->CN,d1,o_max,m019006_o_max_ord22_rk00007,22
CN->CN,d1,o_max,m019015_o_max_ord22_rk00016,22
CN->CN,d1,o_max,m027005_o_max_ord30_rk00006,30
CN->CN,d1,o_max,m023012_o_max_ord26_rk00013,26
CN->CN,d1,o_max,m016019_o_max_ord19_rk00020,19
CN->CN,d1,o_max,m026011_o_max_ord29_rk00012,29
CN->CN,d1,o_max,m026008_o_max_ord29_rk00009,29
CN->CN,d1,o_max,m020017_o_max_ord23_rk00018,23
CN->CN,d1,o_max,m026006_o_max_ord29_rk00007,29
CN->CN,d1,o_max,m026013_o_max_ord29_rk00014,29
CN->CN,d1,o_max,m026019_o_max_ord29_rk00020,29
CN->CN,d1,o_max,m026002_o_max_ord29_rk00003,29
CN->CN,d1,o_max,m013003_o_max_ord16_rk00004,16
CN->CN,d1,o_max,m020018_o_max_ord23_rk00019,23
CN->CN,d1,o_max,m027011_o_max_ord30_rk00012,30
CN->CN,d1,o_min,m047532_o_min_ord3_rk00018,3
CN->CN,d1,o_min,m047534_o_min_ord3_rk00020,3
CN->CN,d1,o_min,m047523_o_min_ord3_rk00009,3
CN->CN,d1,o_min,m047533_o_min_ord3_rk00019,3
CN->CN,d1,o_min,m048519_o_min_ord4_rk00005,4
CN->CN,d1,o_min,m047529_o_min_ord3_rk00015,3
CN->CN,d1,o_min,m062532_o_min_ord18_rk00018,18
CN->CN,d1,o_min,m073534_o_min_ord29_rk00020,29
CN->CN,d1,o_min,m047528_o_min_ord3_rk00014,3
CN->CN,d1,o_min,m060534_o_min_ord16_rk00020,16
CN->CN,d1,o_min,m062525_o_min_ord18_rk00011,18
CN->CN,d1,o_min,m049530_o_min_ord5_rk00016,5
CN->CN,d1,o_min,m048526_o_min_ord4_rk00012,4
CN->CN,d1,o_min,m048516_o_min_ord4_rk00002,4
CN->CN,d1,o_min,m073531_o_min_ord29_rk00017,29
CN->CN,d1,o_min,m061520_o_min_ord17_rk00006,17
CN->CN,d1,o_min,m074524_o_min_ord30_rk00010,30
CN->CN,d1,o_min,m048521_o_min_ord4_rk00007,4
CN->CN,d1,o_min,m048524_o_min_ord4_rk00010,4
CN->CN,d1,o_min,m072519_o_min_ord28_rk00005,28
CN->CN,d2,o_max,m019015_o_max_ord22_rk00016,22
CN->CN,d2,o_max,m017015_o_max_ord20_rk00016,20
CN->CN,d2,o_max,m024016_o_max_ord27_rk00017,27
CN->CN,d2,o_max,m016019_o_max_ord19_rk00020,19
CN->CN,d2,o_max,m025008_o_max_ord28_rk00009,28
CN->CN,d2,o_max,m025007_o_max_ord28_rk00008,28
CN->CN,d2,o_max,m017017_o_max_ord20_rk00018,20
CN->CN,d2,o_max,m025002_o_max_ord28_rk00003,28
CN->CN,d2,o_max,m025011_o_max_ord28_rk00012,28
CN->CN,d2,o_max,m025017_o_max_ord28_rk00018,28
CN->CN,d2,o_max,m020017_o_max_ord23_rk00018,23
CN->CN,d2,o_max,m025005_o_max_ord28_rk00006,28
CN->CN,d2,o_max,m025013_o_max_ord28_rk00014,28
CN->CN,d2,o_max,m026009_o_max_ord29_rk00010,29
CN->CN,d2,o_max,m018016_o_max_ord21_rk00017,21
CN->CN,d2,o_max,m024003_o_max_ord27_rk00004,27
CN->CN,d2,o_max,m021015_o_max_ord24_rk00016,24
CN->CN,d2,o_max,m023012_o_max_ord26_rk00013,26
CN->CN,d2,o_max,m019006_o_max_ord22_rk00007,22
CN->CN,d2,o_max,m023008_o_max_ord26_rk00009,26
CN->CN,d2,o_min,m051527_o_min_ord7_rk00013,7
CN->CN,d2,o_min,m051524_o_min_ord7_rk00010,7
CN->CN,d2,o_min,m051528_o_min_ord7_rk00014,7
CN->CN,d2,o_min,m049527_o_min_ord5_rk00013,5
CN->CN,d2,o_min,m047534_o_min_ord3_rk00020,3
CN->CN,d2,o_min,m049529_o_min_ord5_rk00015,5
CN->CN,d2,o_min,m049517_o_min_ord5_rk00003,5
CN->CN,d2,o_min,m049524_o_min_ord5_rk00010,5
CN->CN,d2,o_min,m048521_o_min_ord4_rk00007,4
CN->CN,d2,o_min,m048528_o_min_ord4_rk00014,4
CN->CN,d2,o_min,m049521_o_min_ord5_rk00007,5
CN->CN,d2,o_min,m048523_o_min_ord4_rk00009,4
CN->CN,d2,o_min,m050532_o_min_ord6_rk00018,6
CN->CN,d2,o_min,m048522_o_min_ord4_rk00008,4
CN->CN,d2,o_min,m052515_o_min_ord8_rk00001,8
CN->CN,d2,o_min,m047533_o_min_ord3_rk00019,3
CN->CN,d2,o_min,m048516_o_min_ord4_rk00002,4
CN->CN,d2,o_min,m048518_o_min_ord4_rk00004,4
CN->CN,d2,o_min,m052530_o_min_ord8_rk00016,8
CN->CN,d2,o_min,m047532_o_min_ord3_rk00018,3
CN->CN,d3,o_max,m017017_o_max_ord20_rk00018,20
CN->CN,d3,o_max,m023008_o_max_ord26_rk00009,26
CN->CN,d3,o_max,m023019_o_max_ord26_rk00020,26
CN->CN,d3,o_max,m026011_o_max_ord29_rk00012,29
CN->CN,d3,o_max,m027005_o_max_ord30_rk00006,30
CN->CN,d3,o_max,m023009_o_max_ord26_rk00010,26
CN->CN,d3,o_max,m026009_o_max_ord29_rk00010,29
CN->CN,d3,o_max,m019015_o_max_ord22_rk00016,22
CN->CN,d3,o_max,m026006_o_max_ord29_rk00007,29
CN->CN,d3,o_max,m023013_o_max_ord26_rk00014,26
CN->CN,d3,o_max,m023006_o_max_ord26_rk00007,26
CN->CN,d3,o_max,m020019_o_max_ord23_rk00020,23
CN->CN,d3,o_max,m020017_o_max_ord23_rk00018,23
CN->CN,d3,o_max,m020008_o_max_ord23_rk00009,23
CN->CN,d3,o_max,m018017_o_max_ord21_rk00018,21
CN->CN,d3,o_max,m023002_o_max_ord26_rk00003,26
CN->CN,d3,o_max,m027019_o_max_ord30_rk00020,30
CN->CN,d3,o_max,m018015_o_max_ord21_rk00016,21
CN->CN,d3,o_max,m024007_o_max_ord27_rk00008,27
CN->CN,d3,o_max,m025008_o_max_ord28_rk00009,28
CN->CN,d3,o_min,m047529_o_min_ord3_rk00015,3
CN->CN,d3,o_min,m047523_o_min_ord3_rk00009,3
CN->CN,d3,o_min,m052531_o_min_ord8_rk00017,8
CN->CN,d3,o_min,m048522_o_min_ord4_rk00008,4
CN->CN,d3,o_min,m052529_o_min_ord8_rk00015,8
CN->CN,d3,o_min,m052525_o_min_ord8_rk00011,8
CN->CN,d3,o_min,m065532_o_min_ord21_rk00018,21
CN->CN,d3,o_min,m049527_o_min_ord5_rk00013,5
CN->CN,d3,o_min,m052530_o_min_ord8_rk00016,8
CN->CN,d3,o_min,m048534_o_min_ord4_rk00020,4
CN->CN,d3,o_min,m049517_o_min_ord5_rk00003,5
CN->CN,d3,o_min,m051528_o_min_ord7_rk00014,7
CN->CN,d3,o_min,m050518_o_min_ord6_rk00004,6
CN->CN,d3,o_min,m050530_o_min_ord6_rk00016,6
CN->CN,d3,o_min,m055526_o_min_ord11_rk00012,11
CN->CN,d3,o_min,m051524_o_min_ord7_rk00010,7
CN->CN,d3,o_min,m047532_o_min_ord3_rk00018,3
CN->CN,d3,o_min,m048528_o_min_ord4_rk00014,4
CN->CN,d3,o_min,m062532_o_min_ord18_rk00018,18
CN->CN,d3,o_min,m050528_o_min_ord6_rk00014,6
AD->AD,OLS,o_max,m000016_o_max_ord3_rk00017,3
AD->AD,OLS,o_max,m000019_o_max_ord3_rk00020,3
AD->AD,OLS,o_max,m000013_o_max_ord3_rk00014,3
AD->AD,OLS,o_max,m000018_o_max_ord3_rk00019,3
AD->AD,OLS,o_max,m000011_o_max_ord3_rk00012,3
AD->AD,OLS,o_max,m000009_o_max_ord3_rk00010,3
AD->AD,OLS,o_max,m000010_o_max_ord3_rk00011,3
AD->AD,OLS,o_max,m000002_o_max_ord3_rk00003,3
AD->AD,OLS,o_max,m000006_o_max_ord3_rk00007,3
AD->AD,OLS,o_max,m000007_o_max_ord3_rk00008,3
AD->AD,OLS,o_max,m000017_o_max_ord3_rk00018,3
AD->AD,OLS,o_max,m000000_o_max_ord3_rk00001,3
AD->AD,OLS,o_max,m000001_o_max_ord3_rk00002,3
AD->AD,OLS,o_max,m000008_o_max_ord3_rk00009,3
AD->AD,OLS,o_max,m002010_o_max_ord5_rk00011,5
AD->AD,OLS,o_max,m000014_o_max_ord3_rk00015,3
AD->AD,OLS,o_max,m002004_o_max_ord5_rk00005,5
AD->AD,OLS,o_max,m000004_o_max_ord3_rk00005,3
AD->AD,OLS,o_max,m000003_o_max_ord3_rk00004,3
AD->AD,OLS,o_max,m000012_o_max_ord3_rk00013,3
AD->AD,OLS,o_min,m048528_o_min_ord4_rk00014,4
AD->AD,OLS,o_min,m059533_o_min_ord15_rk00019,15
AD->AD,OLS,o_min,m058515_o_min_ord14_rk00001,14
AD->AD,OLS,o_min,m049527_o_min_ord5_rk00013,5
AD->AD,OLS,o_min,m058529_o_min_ord14_rk00015,14
AD->AD,OLS,o_min,m060532_o_min_ord16_rk00018,16
AD->AD,OLS,o_min,m057515_o_min_ord13_rk00001,13
AD->AD,OLS,o_min,m056521_o_min_ord12_rk00007,12
AD->AD,OLS,o_min,m058522_o_min_ord14_rk00008,14
AD->AD,OLS,o_min,m056515_o_min_ord12_rk00001,12
AD->AD,OLS,o_min,m048523_o_min_ord4_rk00009,4
AD->AD,OLS,o_min,m060528_o_min_ord16_rk00014,16
AD->AD,OLS,o_min,m056522_o_min_ord12_rk00008,12
AD->AD,OLS,o_min,m056526_o_min_ord12_rk00012,12
AD->AD,OLS,o_min,m056530_o_min_ord12_rk00016,12
AD->AD,OLS,o_min,m059515_o_min_ord15_rk00001,15
AD->AD,OLS,o_min,m057527_o_min_ord13_rk00013,13
AD->AD,OLS,o_min,m055516_o_min_ord11_rk00002,11
AD->AD,OLS,o_min,m055532_o_min_ord11_rk00018,11
AD->AD,OLS,o_min,m057518_o_min_ord13_rk00004,13
AD->AD,d1,o_max,m005019_o_max_ord8_rk00020,8
AD->AD,d1,o_max,m005014_o_max_ord8_rk00015,8
AD->AD,d1,o_max,m012002_o_max_ord15_rk00003,15
AD->AD,d1,o_max,m002011_o_max_ord5_rk00012,5
AD->AD,d1,o_max,m012016_o_max_ord15_rk00017,15
AD->AD,d1,o_max,m027012_o_max_ord30_rk00013,30
AD->AD,d1,o_max,m013009_o_max_ord16_rk00010,16
AD->AD,d1,o_max,m013011_o_max_ord16_rk00012,16
AD->AD,d1,o_max,m009018_o_max_ord12_rk00019,12
AD->AD,d1,o_max,m016008_o_max_ord19_rk00009,19
AD->AD,d1,o_max,m016005_o_max_ord19_rk00006,19
AD->AD,d1,o_max,m013016_o_max_ord16_rk00017,16
AD->AD,d1,o_max,m012004_o_max_ord15_rk00005,15
AD->AD,d1,o_max,m016003_o_max_ord19_rk00004,19
AD->AD,d1,o_max,m006014_o_max_ord9_rk00015,9
AD->AD,d1,o_max,m012001_o_max_ord15_rk00002,15
AD->AD,d1,o_max,m016002_o_max_ord19_rk00003,19
AD->AD,d1,o_max,m011001_o_max_ord14_rk00002,14
AD->AD,d1,o_max,m013000_o_max_ord16_rk00001,16
AD->AD,d1,o_max,m012013_o_max_ord15_rk00014,15
AD->AD,d1,o_min,m048523_o_min_ord4_rk00009,4
AD->AD,d1,o_min,m048516_o_min_ord4_rk00002,4
AD->AD,d1,o_min,m052531_o_min_ord8_rk00017,8
AD->AD,d1,o_min,m053518_o_min_ord9_rk00004,9
AD->AD,d1,o_min,m052518_o_min_ord8_rk00004,8
AD->AD,d1,o_min,m056528_o_min_ord12_rk00014,12
AD->AD,d1,o_min,m057524_o_min_ord13_rk00010,13
AD->AD,d1,o_min,m049521_o_min_ord5_rk00007,5
AD->AD,d1,o_min,m049517_o_min_ord5_rk00003,5
AD->AD,d1,o_min,m052530_o_min_ord8_rk00016,8
AD->AD,d1,o_min,m052529_o_min_ord8_rk00015,8
AD->AD,d1,o_min,m056533_o_min_ord12_rk00019,12
AD->AD,d1,o_min,m050532_o_min_ord6_rk00018,6
AD->AD,d1,o_min,m057517_o_min_ord13_rk00003,13
AD->AD,d1,o_min,m048517_o_min_ord4_rk00003,4
AD->AD,d1,o_min,m048529_o_min_ord4_rk00015,4
AD->AD,d1,o_min,m051527_o_min_ord7_rk00013,7
AD->AD,d1,o_min,m061521_o_min_ord17_rk00007,17
AD->AD,d1,o_min,m048518_o_min_ord4_rk00004,4
AD->AD,d1,o_min,m051524_o_min_ord7_rk00010,7
AD->AD,d2,o_max,m018003_o_max_ord21_rk00004,21
AD->AD,d2,o_max,m011010_o_max_ord14_rk00011,14
AD->AD,d2,o_max,m014007_o_max_ord17_rk00008,17
AD->AD,d2,o_max,m016008_o_max_ord19_rk00009,19
AD->AD,d2,o_max,m010015_o_max_ord13_rk00016,13
AD->AD,d2,o_max,m002011_o_max_ord5_rk00012,5
AD->AD,d2,o_max,m009008_o_max_ord12_rk00009,12
AD->AD,d2,o_max,m019018_o_max_ord22_rk00019,22
AD->AD,d2,o_max,m017012_o_max_ord20_rk00013,20
AD->AD,d2,o_max,m016005_o_max_ord19_rk00006,19
AD->AD,d2,o_max,m014012_o_max_ord17_rk00013,17
AD->AD,d2,o_max,m018017_o_max_ord21_rk00018,21
AD->AD,d2,o_max,m019009_o_max_ord22_rk00010,22
AD->AD,d2,o_max,m001013_o_max_ord4_rk00014,4
AD->AD,d2,o_max,m009006_o_max_ord12_rk00007,12
AD->AD,d2,o_max,m014005_o_max_ord17_rk00006,17
AD->AD,d2,o_max,m014003_o_max_ord17_rk00004,17
AD->AD,d2,o_max,m015008_o_max_ord18_rk00009,18
AD->AD,d2,o_max,m014014_o_max_ord17_rk00015,17
AD->AD,d2,o_max,m011012_o_max_ord14_rk00013,14
AD->AD,d2,o_min,m048523_o_min_ord4_rk00009,4
AD->AD,d2,o_min,m048516_o_min_ord4_rk00002,4
AD->AD,d2,o_min,m048529_o_min_ord4_rk00015,4
AD->AD,d2,o_min,m047517_o_min_ord3_rk00003,3
AD->AD,d2,o_min,m048521_o_min_ord4_rk00007,4
AD->AD,d2,o_min,m048525_o_min_ord4_rk00011,4
AD->AD,d2,o_min,m048530_o_min_ord4_rk00016,4
AD->AD,d2,o_min,m048528_o_min_ord4_rk00014,4
AD->AD,d2,o_min,m048532_o_min_ord4_rk00018,4
AD->AD,d2,o_min,m067522_o_min_ord23_rk00008,23
AD->AD,d2,o_min,m048520_o_min_ord4_rk00006,4
AD->AD,d2,o_min,m054519_o_min_ord10_rk00005,10
AD->AD,d2,o_min,m048527_o_min_ord4_rk00013,4
AD->AD,d2,o_min,m052531_o_min_ord8_rk00017,8
AD->AD,d2,o_min,m048517_o_min_ord4_rk00003,4
AD->AD,d2,o_min,m048518_o_min_ord4_rk00004,4
AD->AD,d2,o_min,m050517_o_min_ord6_rk00003,6
AD->AD,d2,o_min,m067532_o_min_ord23_rk00018,23
