fold,series,median_r2,min_r2,max_r2,baseline_r2
America Central,top20_red,0.2668695830873441,0.1322736636106054,0.3687752687700024,0.3185422879062481
America Northern,top20_red,0.6081794047787765,0.6031410396493713,0.6191051846006805,0.6075258232561667
America South,top20_red,0.274803151904017,0.2636198399407491,0.2802577873992516,0.2473293207712401
Asia East,top20_red,0.4089170364764817,0.3350532093669073,0.5322322002127848,0.528966657990034
Asia South,top20_red,0.2482136298926517,0.2060463366683373,0.2793503736457383,0.2499504552667653
Europe North/Western,top20_red,0.6034809447591227,0.547720470025922,0.6501987058433593,0.6477839106043848
Europe Southern,top20_red,0.4268975645596916,0.3853718974633844,0.4647686563692726,0.4228485827623328
Oceania,top20_red,0.6534866142866894,0.6183929704963402,0.6630052867321115,0.6456393590866645
America Central,top20_syn,0.0922046941484709,-0.4105486611864923,0.3796387151473966,0.3185422879062481
America Northern,top20_syn,0.6134909802070436,0.5952385795801612,0.6285691474366568,0.6075258232561667
America South,top20_syn,0.2825351525405066,0.2709973947577428,0.2855185146677944,0.2473293207712401
Asia East,top20_syn,0.4805830527195164,0.4404966649213115,0.5239226342849892,0.528966657990034
Asia South,top20_syn,0.2970726055760001,0.2412099035112459,0.3380342601016405,0.2499504552667653
Europe North/Western,top20_syn,0.6274871444198553,0.5967968975279162,0.653506933713609,0.6477839106043848
Europe Southern,top20_syn,0.4320703620367452,0.3572600363464837,0.4579836797900893,0.4228485827623328
Oceania,top20_syn,0.6546959022572982,0.62447802843361,0.6861686789581567,0.6456393590866645
